[16:24:46:878581 +02:00] [Thread 17260]  Performed Query 1 - 470775 - SELECT id FROM players WHERE playerid = '76561198216442289'
[16:24:46:878708 +02:00] [Thread 11280]  Performed Query 1 - 470775 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[16:34:31:504361 +02:00] [Thread 11976]  Performed Query 1 - 300294 - SELECT id FROM players WHERE playerid = '76561198216442289'
[16:34:31:964351 +02:00] [Thread 17304]  SINGLE RETURN ARRIVED - [1]
[16:34:31:964381 +02:00] [Thread 11976]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[16:34:31:964665 +02:00] [Thread 17304]  Performed Query 1 - 300294 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[16:34:32:164558 +02:00] [Thread 11976]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[16:34:32:164643 +02:00] [Thread 11976]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[16:37:53:423121 +02:00] [Thread 16288]  Performed Query 1 - 42868 - SELECT id FROM players WHERE playerid = '76561198216442289'
[16:37:53:642287 +02:00] [Thread 17524]  SINGLE RETURN ARRIVED - [1]
[16:37:53:642338 +02:00] [Thread 16288]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[16:37:53:642424 +02:00] [Thread 17524]  Performed Query 1 - 42868 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[16:37:53:861699 +02:00] [Thread 16288]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[16:37:53:861738 +02:00] [Thread 17524]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[17:13:23:565143 +02:00] [Thread 16288]  Performed Query 1 - 42868 - SELECT id FROM players WHERE playerid = '76561198216442289'
[17:13:23:752793 +02:00] [Thread 17524]  SINGLE RETURN ARRIVED - [1]
[17:13:23:752843 +02:00] [Thread 16288]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[17:13:23:752979 +02:00] [Thread 17524]  Performed Query 1 - 42868 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
