[21:34:35:226217 +02:00] [Thread 21144]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[22:10:00:484760 +02:00] [Thread 6232]  Performed Query 1 - 985308 - SELECT id FROM players WHERE playerid = '76561198216442289'
[22:10:00:738727 +02:00] [Thread 20632]  SINGLE RETURN ARRIVED - [1]
[22:10:00:738802 +02:00] [Thread 20632]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[22:10:00:739252 +02:00] [Thread 6232]  Performed Query 1 - 985308 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[22:10:00:970159 +02:00] [Thread 20632]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[22:10:00:970271 +02:00] [Thread 20632]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[22:14:26:504598 +02:00] [Thread 19228]  Performed Query 1 - 861350 - SELECT id FROM players WHERE playerid = '76561198216442289'
[22:14:26:756412 +02:00] [Thread 22980]  SINGLE RETURN ARRIVED - [1]
[22:14:26:756513 +02:00] [Thread 22980]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[22:14:26:760501 +02:00] [Thread 19228]  Performed Query 1 - 861350 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[22:14:27:001470 +02:00] [Thread 22980]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[22:14:27:001911 +02:00] [Thread 19228]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[22:17:26:195714 +02:00] [Thread 19228]  Performed Query 1 - 861350 - UPDATE players SET name = 'Prof. Rudi Bildungsstop', xp = 100000, level = 123, money = 10000, kills = 123, teamkills = 0, deaths = 123 WHERE playerid = '76561198216442289'
[22:20:18:016206 +02:00] [Thread 19228]  Performed Query 1 - 861350 - SELECT id FROM players WHERE playerid = '76561198216442289'
[22:20:18:264727 +02:00] [Thread 22980]  SINGLE RETURN ARRIVED - [1]
[22:20:18:264760 +02:00] [Thread 19228]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[22:20:18:264836 +02:00] [Thread 22980]  Performed Query 1 - 861350 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[22:20:18:500544 +02:00] [Thread 19228]  SINGLE RETURN ARRIVED - ["ADMIN","Prof. Rudi Bildungsstop",100,0,100000,123,10000,123,0,123]
[22:20:18:500807 +02:00] [Thread 19228]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Prof. Rudi Bildungsstop",100,0,100000,123,10000,123,0,123]
[22:20:50:725660 +02:00] [Thread 22980]  Performed Query 1 - 861350 - SELECT id FROM players WHERE playerid = '76561198216442289'
[22:20:51:010098 +02:00] [Thread 22980]  SINGLE RETURN ARRIVED - [1001]
[22:20:51:010156 +02:00] [Thread 22980]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1001]
[22:20:51:010382 +02:00] [Thread 19228]  Performed Query 1 - 861350 - SELECT playerintid FROM players WHERE playerintid = 'I14ZYD92R'
[22:20:51:209758 +02:00] [Thread 22980]  SINGLE RETURN ARRIVED - [1001]
[22:20:51:209821 +02:00] [Thread 22980]  Successfully finished Query - SELECT playerintid FROM players WHERE playerintid = 'I14ZYD92R' - with return - [1001]
[22:20:51:625460 +02:00] [Thread 19228]  Performed Query 1 - 861350 - INSERT INTO players (playerid, playerintid, name, playtime, firstconnect, lastconnect) values (76561198216442289,'I14ZYD92R','Prof. Rudi Bildungsstop','00:00:00','2019-8-11 22:20:00','2019-8-11 22:20:00')
[22:20:52:203821 +02:00] [Thread 19228]  Performed Query 1 - 861350 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[22:20:52:442086 +02:00] [Thread 22980]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof. Rudi Bildungsstop",0,0,0,0,0,0,0,0]
[22:20:52:442109 +02:00] [Thread 19228]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof. Rudi Bildungsstop",0,0,0,0,0,0,0,0]
