[20:14:58:775686 +01:00] [Thread 5348]  Performed Query 1 - 397714 - SHOW PROCESSLIST
[20:14:58:775800 +01:00] [Thread 10752]  Finished Query - SHOW PROCESSLIST - with return - [1010]
[20:18:27:533137 +01:00] [Thread 72]  Performed Query 1 - 126048 - SHOW PROCESSLIST
[20:18:27:533262 +01:00] [Thread 10580]  Finished Query - SHOW PROCESSLIST - with return - [1010]
[20:26:21:678584 +01:00] [Thread 14360]  Performed Query 1 - 241218 - SHOW PROCESSLIST
[20:26:21:678774 +01:00] [Thread 10172]  Finished Query - SHOW PROCESSLIST - with return - [1010]
[20:43:37:993340 +01:00] [Thread 1292]  Performed Query 1 - 557881 - SHOW PROCESSLIST
[20:44:58:365521 +01:00] [Thread 1292]  Performed Query 1 - 557881 - SELECT id FROM players WHERE playerid = '76561198216442289'
[20:44:59:018437 +01:00] [Thread 1292]  Performed Query 1 - 557881 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[20:47:44:027060 +01:00] [Thread 1292]  Performed Query 1 - 557881 - SELECT id FROM players WHERE playerid = '76561198216442289'
[20:47:44:246578 +01:00] [Thread 16220]  Performed Query 1 - 557881 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[20:48:41:540397 +01:00] [Thread 10960]  Performed Query 1 - 546449 - SHOW PROCESSLIST
[20:48:41:540698 +01:00] [Thread 9052]  Finished Query - SHOW PROCESSLIST - with return - [1,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[20:48:41:540726 +01:00] [Thread 10960]  SINGLE RETURN ARRIVED - [1,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[20:49:06:617009 +01:00] [Thread 9052]  Performed Query 1 - 546449 - SELECT id FROM players WHERE playerid = '76561198216442289'
[20:49:06:837455 +01:00] [Thread 9052]  Performed Query 1 - 546449 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[20:53:28:854692 +01:00] [Thread 1124]  Performed Query 1 - 942994 - SHOW PROCESSLIST
[20:53:28:889237 +01:00] [Thread 6216]  SINGLE RETURN ARRIVED - [1,"system user","","","Daemon","","InnoDB purge coordinator","",0]
