[14:38:42:225875 +01:00] [Thread 14340]  Performed Query 1 - 98315 - SHOW PROCESSLIST
[14:38:42:376773 +01:00] [Thread 12292]  SINGLE RETURN ARRIVED - [3,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[14:38:42:376793 +01:00] [Thread 14340]  Finished Query - SHOW PROCESSLIST - with return - [3,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[14:39:25:250436 +01:00] [Thread 12292]  Performed Query 1 - 98315 - SELECT id FROM players WHERE steamid64 = '76561198216442289'
[14:39:25:469758 +01:00] [Thread 14340]  SINGLE RETURN ARRIVED - [1]
[14:39:25:469787 +01:00] [Thread 12292]  Finished Query - SELECT id FROM players WHERE steamid64 = '76561198216442289' - with return - [1]
[14:39:25:469984 +01:00] [Thread 14744]  Performed Query 1 - 98315 - SELECT intid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[14:39:25:687601 +01:00] [Thread 14744]  SINGLE RETURN ARRIVED - [any,0,0,0,0,1,0,0,0,0]
[14:39:25:687613 +01:00] [Thread 12292]  Finished Query - SELECT intid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289' - with return - [any,0,0,0,0,1,0,0,0,0]
[14:40:05:112051 +01:00] [Thread 14744]  Performed Query 1 - 98315 - UPDATE players SET name = 'Rudi Bildungsstop', xp = 0, level = 1, money = 0, kills = 0, teamkills = 0, deaths = 0 WHERE steamid64 = '76561198216442289'
[14:44:06:942256 +01:00] [Thread 14340]  Performed Query 1 - 98315 - SELECT id FROM players WHERE steamid64 = '76561198216442289'
[14:44:07:161649 +01:00] [Thread 12292]  SINGLE RETURN ARRIVED - [1]
[14:44:07:161880 +01:00] [Thread 14340]  Finished Query - SELECT id FROM players WHERE steamid64 = '76561198216442289' - with return - [1]
[14:44:07:161997 +01:00] [Thread 12292]  Performed Query 1 - 98315 - SELECT intid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[14:47:43:344739 +01:00] [Thread 11196]  Performed Query 1 - 683902 - SHOW PROCESSLIST
[14:47:43:442249 +01:00] [Thread 9476]  SINGLE RETURN ARRIVED - [3,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[14:47:43:442300 +01:00] [Thread 9476]  Finished Query - SHOW PROCESSLIST - with return - [3,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[14:48:03:476656 +01:00] [Thread 11196]  Performed Query 1 - 683902 - SELECT id FROM players WHERE steamid64 = '76561198216442289'
[14:48:03:697083 +01:00] [Thread 9476]  SINGLE RETURN ARRIVED - [1]
[14:48:03:697101 +01:00] [Thread 11196]  Finished Query - SELECT id FROM players WHERE steamid64 = '76561198216442289' - with return - [1]
[14:48:03:697207 +01:00] [Thread 9476]  Performed Query 1 - 683902 - SELECT intid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[14:49:09:257135 +01:00] [Thread 5736]  Performed Query 1 - 568520 - SHOW PROCESSLIST
[14:49:09:257483 +01:00] [Thread 5400]  SINGLE RETURN ARRIVED - [3,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[14:49:09:257507 +01:00] [Thread 5736]  Finished Query - SHOW PROCESSLIST - with return - [3,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[14:49:32:208496 +01:00] [Thread 5400]  Performed Query 1 - 568520 - SELECT id FROM players WHERE steamid64 = '76561198216442289'
[14:49:32:427862 +01:00] [Thread 5736]  SINGLE RETURN ARRIVED - [1]
[14:49:32:427876 +01:00] [Thread 5400]  Finished Query - SELECT id FROM players WHERE steamid64 = '76561198216442289' - with return - [1]
[14:49:32:427983 +01:00] [Thread 5736]  Performed Query 1 - 568520 - SELECT intid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[14:51:16:830934 +01:00] [Thread 7176]  Performed Query 1 - 616996 - SHOW PROCESSLIST
[14:51:16:845074 +01:00] [Thread 11696]  SINGLE RETURN ARRIVED - [3,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[14:51:16:845116 +01:00] [Thread 11696]  Finished Query - SHOW PROCESSLIST - with return - [3,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[14:51:39:376289 +01:00] [Thread 7176]  Performed Query 1 - 616996 - SELECT id FROM players WHERE steamid64 = '76561198216442289'
[14:51:39:595617 +01:00] [Thread 11696]  SINGLE RETURN ARRIVED - [1]
[14:51:39:595663 +01:00] [Thread 7176]  Finished Query - SELECT id FROM players WHERE steamid64 = '76561198216442289' - with return - [1]
[14:51:39:595736 +01:00] [Thread 11696]  Performed Query 1 - 616996 - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[14:52:37:805479 +01:00] [Thread 11696]  Performed Query 1 - 616996 - SELECT id FROM players WHERE steamid64 = '76561198216442289'
[14:52:38:047956 +01:00] [Thread 7176]  Finished Query - SELECT id FROM players WHERE steamid64 = '76561198216442289' - with return - [1]
[14:52:38:048175 +01:00] [Thread 11696]  SINGLE RETURN ARRIVED - [1]
[14:52:38:048490 +01:00] [Thread 7580]  Performed Query 1 - 616996 - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[14:55:09:959784 +01:00] [Thread 7176]  Performed Query 1 - 616996 - SELECT id FROM players WHERE steamid64 = '76561198216442289'
[14:55:10:172891 +01:00] [Thread 11696]  SINGLE RETURN ARRIVED - [1]
[14:55:10:172921 +01:00] [Thread 7176]  Finished Query - SELECT id FROM players WHERE steamid64 = '76561198216442289' - with return - [1]
[14:55:10:173028 +01:00] [Thread 11696]  Performed Query 1 - 616996 - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[14:55:10:427538 +01:00] [Thread 7176]  SINGLE RETURN ARRIVED - [any,any,0,0,15617,1,0,0,0,0]
[14:55:10:427594 +01:00] [Thread 11696]  Finished Query - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289' - with return - [any,any,0,0,15617,1,0,0,0,0]
[15:03:20:328494 +01:00] [Thread 15400]  Performed Query 1 - 606978 - SHOW PROCESSLIST
[15:03:20:346960 +01:00] [Thread 15400]  SINGLE RETURN ARRIVED - [3,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[15:03:20:346992 +01:00] [Thread 14612]  Finished Query - SHOW PROCESSLIST - with return - [3,"system user","","","Daemon","","InnoDB purge coordinator","",0]
[15:03:39:217201 +01:00] [Thread 15400]  Performed Query 1 - 606978 - SELECT id FROM players WHERE steamid64 = '76561198216442289'
[15:03:39:436663 +01:00] [Thread 14612]  SINGLE RETURN ARRIVED - [1]
[15:03:39:436687 +01:00] [Thread 15400]  Finished Query - SELECT id FROM players WHERE steamid64 = '76561198216442289' - with return - [1]
[15:03:39:436772 +01:00] [Thread 14612]  Performed Query 1 - 606978 - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[15:03:39:656901 +01:00] [Thread 15400]  SINGLE RETURN ARRIVED - [any,any,0,0,15617,1,0,0,0,0]
[15:03:39:656923 +01:00] [Thread 14612]  Finished Query - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289' - with return - [any,any,0,0,15617,1,0,0,0,0]
[15:06:40:767557 +01:00] [Thread 15400]  Performed Query 1 - 606978 - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[15:06:40:767665 +01:00] [Thread 15400]  SINGLE RETURN ARRIVED - [any,any,0,0,15617,1,0,0,0,0]
[15:06:40:767718 +01:00] [Thread 15400]  Finished Query - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289' - with return - [any,any,0,0,15617,1,0,0,0,0]
[15:08:01:877512 +01:00] [Thread 15400]  Performed Query 1 - 606978 - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[15:08:01:878081 +01:00] [Thread 14612]  SINGLE RETURN ARRIVED - [any,any,0,0,15617,1,0,0,0,0]
[15:08:01:878337 +01:00] [Thread 14612]  Finished Query - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289' - with return - [any,any,0,0,15617,1,0,0,0,0]
[15:09:31:470133 +01:00] [Thread 15400]  Performed Query 1 - 606978 - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[15:09:31:488628 +01:00] [Thread 14612]  SINGLE RETURN ARRIVED - [any,any,0,0,15617,1,0,0,0,0]
[15:09:31:488739 +01:00] [Thread 15400]  Finished Query - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289' - with return - [any,any,0,0,15617,1,0,0,0,0]
[15:17:29:854222 +01:00] [Thread 7284]  Performed Query 1 - 211662 - SHOW PROCESSLIST
[15:17:29:870606 +01:00] [Thread 13060]  Finished Query - SHOW PROCESSLIST - with return - [2,"system user","","","Daemon","","InnoDB purge worker","",0]
[15:17:29:884749 +01:00] [Thread 7284]  SINGLE RETURN ARRIVED - [2,"system user","","","Daemon","","InnoDB purge worker","",0]
[15:17:47:868899 +01:00] [Thread 13060]  Performed Query 1 - 211662 - SELECT id FROM players WHERE steamid64 = '76561198216442289'
[15:17:48:088775 +01:00] [Thread 7284]  SINGLE RETURN ARRIVED - [1001]
[15:17:48:088786 +01:00] [Thread 13060]  Finished Query - SELECT id FROM players WHERE steamid64 = '76561198216442289' - with return - [1001]
[15:17:48:088927 +01:00] [Thread 7284]  Performed Query 1 - 211662 - SELECT intid FROM players WHERE intid = 'K46TPK54G'
[15:17:48:308925 +01:00] [Thread 13060]  SINGLE RETURN ARRIVED - [1001]
[15:17:48:308963 +01:00] [Thread 7284]  Finished Query - SELECT intid FROM players WHERE intid = 'K46TPK54G' - with return - [1001]
[15:17:48:329804 +01:00] [Thread 13060]  Performed Query 1 - 211662 - INSERT INTO players (steamid64, intid, a3name, playtime, firstconnect, lastconnect) values (76561198216442289,'K46TPK54G','Rudi Bildungsstop','00:00:00','2019-11-26 15:17:00','2019-11-26 15:17:00')
[15:17:48:842491 +01:00] [Thread 13060]  Performed Query 1 - 211662 - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[15:17:49:057402 +01:00] [Thread 7284]  SINGLE RETURN ARRIVED - [1001]
[15:17:49:057464 +01:00] [Thread 7284]  Finished Query - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289' - with return - [1001]
[15:18:00:752767 +01:00] [Thread 13060]  Performed Query 1 - 211662 - UPDATE players SET a3name = 'Rudi Bildungsstop', xp = any, level = any, money = any, kills = any, teamkills = any, deaths = any WHERE steamid64 = '76561198216442289'
[15:18:06:896578 +01:00] [Thread 13060]  Performed Query 1 - 211662 - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289'
[15:18:06:910800 +01:00] [Thread 7284]  SINGLE RETURN ARRIVED - [1001]
[15:18:06:910828 +01:00] [Thread 13060]  Finished Query - SELECT intid, a3name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE steamid64 = '76561198216442289' - with return - [1001]
[15:19:11:456799 +01:00] [Thread 7524]  Performed Query 1 - 835970 - SHOW PROCESSLIST
[15:19:11:491034 +01:00] [Thread 5332]  Finished Query - SHOW PROCESSLIST - with return - [2,"system user","","","Daemon","","InnoDB purge worker","",0]
[15:19:11:494927 +01:00] [Thread 7524]  SINGLE RETURN ARRIVED - [2,"system user","","","Daemon","","InnoDB purge worker","",0]
[15:19:31:667976 +01:00] [Thread 5332]  Performed Query 1 - 835970 - SELECT id FROM players WHERE steamid64 = '76561198216442289'
[15:19:31:887506 +01:00] [Thread 7524]  SINGLE RETURN ARRIVED - [1001]
[15:19:31:887567 +01:00] [Thread 5332]  Finished Query - SELECT id FROM players WHERE steamid64 = '76561198216442289' - with return - [1001]
[15:19:31:887704 +01:00] [Thread 7524]  Performed Query 1 - 835970 - SELECT intid FROM players WHERE intid = 'I58NFI57X'
[15:19:32:107357 +01:00] [Thread 5332]  SINGLE RETURN ARRIVED - [1001]
[15:19:32:107371 +01:00] [Thread 7524]  Finished Query - SELECT intid FROM players WHERE intid = 'I58NFI57X' - with return - [1001]
