[16:27:54:352002 +02:00] [Thread 18756]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,120120,0,10,0,0,0]
[16:27:54:352106 +02:00] [Thread 20748]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,120120,0,10,0,0,0]
[17:33:49:536248 +02:00] [Thread 3316]  Performed Query 1 - 211967 - SHOW PROCESSLIST
[17:33:49:662769 +02:00] [Thread 3316]  SINGLE RETURN ARRIVED - [4,"root","localhost:31131","koth","Sleep",12,"","",0]
[17:33:49:662797 +02:00] [Thread 16432]  Finished Query - SHOW PROCESSLIST - with return - [4,"root","localhost:31131","koth","Sleep",12,"","",0]
[17:34:54:277184 +02:00] [Thread 3316]  Performed Query 1 - 211967 - SELECT id FROM players WHERE playerid = '76561198216442289'
[17:34:54:496085 +02:00] [Thread 3316]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[17:34:54:496304 +02:00] [Thread 11356]  Performed Query 1 - 211967 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[17:34:54:496538 +02:00] [Thread 16432]  SINGLE RETURN ARRIVED - [3]
[17:34:54:716116 +02:00] [Thread 3316]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[17:34:54:716140 +02:00] [Thread 16432]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[17:40:18:264511 +02:00] [Thread 20980]  Performed Query 1 - 295999 - SHOW PROCESSLIST
[17:40:18:343969 +02:00] [Thread 19284]  SINGLE RETURN ARRIVED - [4,"root","localhost:31131","koth","Sleep",401,"","",0]
[17:40:18:343995 +02:00] [Thread 20980]  Finished Query - SHOW PROCESSLIST - with return - [4,"root","localhost:31131","koth","Sleep",401,"","",0]
[17:41:14:192004 +02:00] [Thread 19284]  Performed Query 1 - 295999 - SELECT id FROM players WHERE playerid = '76561198216442289'
[17:41:14:412340 +02:00] [Thread 20980]  SINGLE RETURN ARRIVED - [3]
[17:41:14:412489 +02:00] [Thread 19284]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[17:41:14:412627 +02:00] [Thread 19284]  Performed Query 1 - 295999 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[17:41:14:631761 +02:00] [Thread 20980]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[17:41:14:631775 +02:00] [Thread 19284]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[17:48:37:013992 +02:00] [Thread 20152]  Performed Query 1 - 131505 - SHOW PROCESSLIST
[17:48:37:179149 +02:00] [Thread 8580]  SINGLE RETURN ARRIVED - [4,"root","localhost:31131","koth","Sleep",899,"","",0]
[17:48:37:179185 +02:00] [Thread 20152]  Finished Query - SHOW PROCESSLIST - with return - [4,"root","localhost:31131","koth","Sleep",899,"","",0]
[17:49:36:186811 +02:00] [Thread 20152]  Performed Query 1 - 131505 - SELECT id FROM players WHERE playerid = '76561198216442289'
[17:49:36:388550 +02:00] [Thread 8580]  SINGLE RETURN ARRIVED - [3]
[17:49:36:388569 +02:00] [Thread 20152]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[17:49:36:388663 +02:00] [Thread 8580]  Performed Query 1 - 131505 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[17:49:36:588682 +02:00] [Thread 20152]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[17:49:36:588694 +02:00] [Thread 8580]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[17:52:05:701933 +02:00] [Thread 23192]  Performed Query 1 - 39064 - SHOW PROCESSLIST
[17:52:05:856945 +02:00] [Thread 23188]  SINGLE RETURN ARRIVED - [4,"root","localhost:31131","koth","Sleep",1108,"","",0]
[17:52:05:856970 +02:00] [Thread 23192]  Finished Query - SHOW PROCESSLIST - with return - [4,"root","localhost:31131","koth","Sleep",1108,"","",0]
[17:52:51:758510 +02:00] [Thread 23188]  Performed Query 1 - 39064 - SELECT id FROM players WHERE playerid = '76561198216442289'
[17:52:51:978577 +02:00] [Thread 23192]  SINGLE RETURN ARRIVED - [3]
