[21:58:31:676151 +02:00] [Thread 7460]  Performed Query 1 - 368480 - SELECT id FROM players WHERE playerid = '76561198216442289'
[21:58:32:333211 +02:00] [Thread 12776]  SINGLE RETURN ARRIVED - [1001]
[21:58:32:333226 +02:00] [Thread 7460]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1001]
[21:58:32:333409 +02:00] [Thread 12776]  Performed Query 1 - 368480 - INSERT INTO players (playerid, playerintid, name, playtime, firstconnect, lastconnect) values (76561198216442289,any,Prof. Rudi Bildungsstop,00:00:00,<null>,<null>)
[21:59:05:013956 +02:00] [Thread 12776]  Performed Query 1 - 368480 - SELECT playerintid FROM players WHERE playerintid = 'U52B55'
[21:59:06:489851 +02:00] [Thread 12776]  Performed Query 1 - 368480 - SELECT playerintid FROM players WHERE playerintid = 'L56N53'
[21:59:06:507978 +02:00] [Thread 7460]  SINGLE RETURN ARRIVED - [1001]
[21:59:06:508166 +02:00] [Thread 7460]  Successfully finished Query - SELECT playerintid FROM players WHERE playerintid = 'L56N53' - with return - [1001]
[21:59:09:351199 +02:00] [Thread 12776]  Performed Query 1 - 368480 - SELECT playerintid FROM players WHERE playerintid = 'N73X11'
[21:59:09:351545 +02:00] [Thread 7460]  SINGLE RETURN ARRIVED - [1001]
[21:59:09:351563 +02:00] [Thread 12776]  Successfully finished Query - SELECT playerintid FROM players WHERE playerintid = 'N73X11' - with return - [1001]
[21:59:10:010308 +02:00] [Thread 7460]  Performed Query 1 - 368480 - SELECT playerintid FROM players WHERE playerintid = 'H47N18'
[21:59:10:024883 +02:00] [Thread 12776]  SINGLE RETURN ARRIVED - [1001]
[21:59:10:024978 +02:00] [Thread 12776]  Successfully finished Query - SELECT playerintid FROM players WHERE playerintid = 'H47N18' - with return - [1001]
[21:59:10:535538 +02:00] [Thread 7460]  Performed Query 1 - 368480 - SELECT playerintid FROM players WHERE playerintid = 'G85D66'
[21:59:10:535930 +02:00] [Thread 12776]  SINGLE RETURN ARRIVED - [1001]
[21:59:10:535944 +02:00] [Thread 7460]  Successfully finished Query - SELECT playerintid FROM players WHERE playerintid = 'G85D66' - with return - [1001]
[21:59:11:016666 +02:00] [Thread 12776]  Performed Query 1 - 368480 - SELECT playerintid FROM players WHERE playerintid = 'G25W26'
[21:59:11:017128 +02:00] [Thread 7460]  SINGLE RETURN ARRIVED - [1001]
[21:59:11:017163 +02:00] [Thread 12776]  Successfully finished Query - SELECT playerintid FROM players WHERE playerintid = 'G25W26' - with return - [1001]
[21:59:11:451712 +02:00] [Thread 7460]  Performed Query 1 - 368480 - SELECT playerintid FROM players WHERE playerintid = 'I81T64'
[21:59:11:473488 +02:00] [Thread 12776]  SINGLE RETURN ARRIVED - [1001]
[21:59:11:473505 +02:00] [Thread 7460]  Successfully finished Query - SELECT playerintid FROM players WHERE playerintid = 'I81T64' - with return - [1001]
[21:59:11:870686 +02:00] [Thread 12776]  Performed Query 1 - 368480 - SELECT playerintid FROM players WHERE playerintid = 'V77N80'
[21:59:11:871009 +02:00] [Thread 7460]  SINGLE RETURN ARRIVED - [1001]
[21:59:11:871021 +02:00] [Thread 12776]  Successfully finished Query - SELECT playerintid FROM players WHERE playerintid = 'V77N80' - with return - [1001]
[21:59:12:199879 +02:00] [Thread 7460]  Performed Query 1 - 368480 - SELECT playerintid FROM players WHERE playerintid = 'A36H18'
[21:59:12:200356 +02:00] [Thread 12776]  SINGLE RETURN ARRIVED - [1001]
[21:59:12:200377 +02:00] [Thread 7460]  Successfully finished Query - SELECT playerintid FROM players WHERE playerintid = 'A36H18' - with return - [1001]
[21:59:12:483854 +02:00] [Thread 12776]  Performed Query 1 - 368480 - SELECT playerintid FROM players WHERE playerintid = 'J77P12'
[21:59:12:508068 +02:00] [Thread 7460]  SINGLE RETURN ARRIVED - [1001]
[21:59:12:508144 +02:00] [Thread 7460]  Successfully finished Query - SELECT playerintid FROM players WHERE playerintid = 'J77P12' - with return - [1001]
