[16:11:22:265253 +02:00] [Thread 1824]  Performed Query 1 - 30051 - SELECT id FROM players WHERE playerid = '76561198216442289'
[16:11:22:265662 +02:00] [Thread 16060]  Performed Query 1 - 30051 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[16:13:56:793026 +02:00] [Thread 1824]  Performed Query 1 - 30051 - SELECT id FROM players WHERE playerid = '76561198216442289'
[16:13:56:793201 +02:00] [Thread 16060]  Performed Query 1 - 30051 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[16:19:12:709300 +02:00] [Thread 1824]  Performed Query 1 - 30051 - SELECT id FROM players WHERE playerid = '76561198216442289'
[16:19:12:709466 +02:00] [Thread 16060]  Performed Query 1 - 30051 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[16:47:14:690585 +02:00] [Thread 9768]  Performed Query 1 - 21935 - SELECT id WHERE id = '1'
[16:47:47:255038 +02:00] [Thread 8712]  Performed Query 1 - 21935 - SELECT id FROM players WHERE playerid = '76561198216442289'
[16:47:47:255195 +02:00] [Thread 9768]  Performed Query 1 - 21935 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[16:53:19:471247 +02:00] [Thread 12988]  Performed Query 1 - 271825 - SELECT id WHERE id = '1'
[17:02:23:391812 +02:00] [Thread 18384]  Performed Query 1 - 349691 - SELECT id WHERE id = '1'
[17:02:23:395811 +02:00] [Thread 18912]  Finished Query - SELECT id WHERE id = '1' - with return - [1010]
[17:02:45:533587 +02:00] [Thread 18912]  Performed Query 1 - 349691 - SELECT id FROM players WHERE playerid = '76561198216442289'
[17:02:45:533648 +02:00] [Thread 18912]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1010]
[17:02:45:533717 +02:00] [Thread 18912]  Performed Query 1 - 349691 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[17:02:45:533756 +02:00] [Thread 18912]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - [1010]
[17:04:26:667275 +02:00] [Thread 20316]  Performed Query 1 - 365025 - SELECT id WHERE id = '1'
[17:04:45:743319 +02:00] [Thread 20316]  Performed Query 1 - 365025 - SELECT id FROM players WHERE playerid = '76561198216442289'
[17:04:45:956701 +02:00] [Thread 20320]  SINGLE RETURN ARRIVED - [3]
[17:04:45:956759 +02:00] [Thread 20320]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[17:04:45:957016 +02:00] [Thread 20316]  Performed Query 1 - 365025 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
