[15:22:20:073597 +02:00] [Thread 13892]  Performed Query 1 - 336899 - SHOW PROCESSLIST
[15:22:20:073643 +02:00] [Thread 17096]  Finished Query - SHOW PROCESSLIST - with return - [1010]
[15:25:23:516036 +02:00] [Thread 5104]  Performed Query 1 - 636270 - SHOW PROCESSLIST
[15:26:17:813840 +02:00] [Thread 5104]  Performed Query 1 - 636270 - SELECT id FROM players WHERE playerid = '76561198216442289'
[15:26:18:900438 +02:00] [Thread 19040]  SINGLE RETURN ARRIVED - [3]
[15:26:18:900486 +02:00] [Thread 5104]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[15:26:18:900588 +02:00] [Thread 19040]  Performed Query 1 - 636270 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[15:26:19:175928 +02:00] [Thread 5104]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[15:26:19:181259 +02:00] [Thread 19040]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[15:32:30:705042 +02:00] [Thread 17684]  Performed Query 1 - 231753 - SHOW PROCESSLIST
[15:32:30:738644 +02:00] [Thread 11532]  Finished Query - SHOW PROCESSLIST - with return - [3,"admire","localhost:18722","koth","Query",0,"init","SHOW PROCESSLIST",0]
[15:32:30:738665 +02:00] [Thread 17684]  SINGLE RETURN ARRIVED - [3,"admire","localhost:18722","koth","Query",0,"init","SHOW PROCESSLIST",0]
[15:32:59:410253 +02:00] [Thread 11532]  Performed Query 1 - 231753 - SELECT id FROM players WHERE playerid = '76561198216442289'
[15:32:59:631126 +02:00] [Thread 17684]  SINGLE RETURN ARRIVED - [3]
[15:32:59:631735 +02:00] [Thread 11532]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[15:32:59:631920 +02:00] [Thread 10948]  Performed Query 1 - 231753 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[15:32:59:849750 +02:00] [Thread 10444]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[15:32:59:849872 +02:00] [Thread 10444]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
