[14:34:59:940113 +02:00] [Thread 10936]  Performed Query 1 - 282953 - SHOW PROCESSLIST
[14:38:04:512522 +02:00] [Thread 3192]  Performed Query 1 - 873753 - SHOW PROCESSLIST
[14:38:04:562143 +02:00] [Thread 3192]  SINGLE RETURN ARRIVED - [3,"admire","localhost:42687","koth","Query",0,"init","SHOW PROCESSLIST",0]
[14:38:04:562207 +02:00] [Thread 1460]  Finished Query - SHOW PROCESSLIST - with return - [3,"admire","localhost:42687","koth","Query",0,"init","SHOW PROCESSLIST",0]
[14:41:16:817202 +02:00] [Thread 10680]  Performed Query 1 - 641184 - SHOW PROCESSLIST
[14:41:16:993444 +02:00] [Thread 10680]  SINGLE RETURN ARRIVED - [4,"admire","localhost:43120","koth","Query",0,"init","SHOW PROCESSLIST",0]
[14:41:16:993451 +02:00] [Thread 7624]  Finished Query - SHOW PROCESSLIST - with return - [4,"admire","localhost:43120","koth","Query",0,"init","SHOW PROCESSLIST",0]
[17:00:53:896982 +02:00] [Thread 17000]  Performed Query 1 - 904301 - SHOW PROCESSLIST
[18:20:14:972373 +02:00] [Thread 16016]  Performed Query 1 - 472939 - SHOW PROCESSLIST
[18:20:14:972573 +02:00] [Thread 3004]  Finished Query - SHOW PROCESSLIST - with return - [1010]
[18:29:09:195732 +02:00] [Thread 12888]  Performed Query 1 - 215157 - SHOW PROCESSLIST
[18:54:32:115653 +02:00] [Thread 5900]  Performed Query 1 - 376574 - SHOW PROCESSLIST
[18:54:32:173298 +02:00] [Thread 5900]  SINGLE RETURN ARRIVED - [3,"admire","localhost:6595","koth","Query",0,"init","SHOW PROCESSLIST",0]
[18:54:32:173314 +02:00] [Thread 16888]  Finished Query - SHOW PROCESSLIST - with return - [3,"admire","localhost:6595","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:15:20:949761 +02:00] [Thread 6028]  Performed Query 1 - 883865 - SHOW PROCESSLIST
[19:15:20:997189 +02:00] [Thread 6028]  SINGLE RETURN ARRIVED - [14,"admire","localhost:8398","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:15:20:997203 +02:00] [Thread 12496]  Finished Query - SHOW PROCESSLIST - with return - [14,"admire","localhost:8398","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:19:54:597456 +02:00] [Thread 7092]  Performed Query 1 - 635485 - SHOW PROCESSLIST
[19:19:54:623217 +02:00] [Thread 13592]  SINGLE RETURN ARRIVED - [26,"admire","localhost:8877","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:19:54:623252 +02:00] [Thread 7092]  Finished Query - SHOW PROCESSLIST - with return - [26,"admire","localhost:8877","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:26:49:481699 +02:00] [Thread 7012]  Performed Query 1 - 539775 - SHOW PROCESSLIST
[19:26:49:482089 +02:00] [Thread 10376]  SINGLE RETURN ARRIVED - [27,"admire","localhost:9598","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:26:49:482127 +02:00] [Thread 7012]  Finished Query - SHOW PROCESSLIST - with return - [27,"admire","localhost:9598","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:30:39:163063 +02:00] [Thread 17588]  Performed Query 1 - 944128 - SHOW PROCESSLIST
[19:30:39:199069 +02:00] [Thread 8856]  SINGLE RETURN ARRIVED - [28,"admire","localhost:10093","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:30:39:199084 +02:00] [Thread 17588]  Finished Query - SHOW PROCESSLIST - with return - [28,"admire","localhost:10093","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:52:45:554178 +02:00] [Thread 5184]  Performed Query 1 - 668620 - SHOW PROCESSLIST
[19:52:45:571487 +02:00] [Thread 5184]  SINGLE RETURN ARRIVED - [35,"admire","localhost:11714","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:52:45:574269 +02:00] [Thread 15656]  Finished Query - SHOW PROCESSLIST - with return - [35,"admire","localhost:11714","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:55:10:974570 +02:00] [Thread 17828]  Performed Query 1 - 942131 - SHOW PROCESSLIST
[19:55:10:999565 +02:00] [Thread 17828]  SINGLE RETURN ARRIVED - [36,"admire","localhost:11991","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:55:10:999767 +02:00] [Thread 9724]  Finished Query - SHOW PROCESSLIST - with return - [36,"admire","localhost:11991","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:57:05:838203 +02:00] [Thread 17852]  Performed Query 1 - 844668 - SHOW PROCESSLIST
[19:57:05:853346 +02:00] [Thread 17852]  SINGLE RETURN ARRIVED - [37,"admire","localhost:12230","koth","Query",0,"init","SHOW PROCESSLIST",0]
[19:57:05:853376 +02:00] [Thread 8736]  Finished Query - SHOW PROCESSLIST - with return - [37,"admire","localhost:12230","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:01:13:743961 +02:00] [Thread 16176]  Performed Query 1 - 842419 - SHOW PROCESSLIST
[20:01:13:753646 +02:00] [Thread 17172]  Finished Query - SHOW PROCESSLIST - with return - [38,"admire","localhost:12608","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:01:13:754115 +02:00] [Thread 16176]  SINGLE RETURN ARRIVED - [38,"admire","localhost:12608","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:02:50:410755 +02:00] [Thread 3936]  Performed Query 1 - 824133 - SHOW PROCESSLIST
[20:02:50:477959 +02:00] [Thread 3936]  SINGLE RETURN ARRIVED - [39,"admire","localhost:12856","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:02:50:477975 +02:00] [Thread 3860]  Finished Query - SHOW PROCESSLIST - with return - [39,"admire","localhost:12856","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:05:17:250814 +02:00] [Thread 6264]  Performed Query 1 - 967397 - SHOW PROCESSLIST
[20:05:17:383039 +02:00] [Thread 15816]  SINGLE RETURN ARRIVED - [44,"admire","localhost:13158","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:05:17:383071 +02:00] [Thread 6264]  Finished Query - SHOW PROCESSLIST - with return - [44,"admire","localhost:13158","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:10:38:236475 +02:00] [Thread 18336]  Performed Query 1 - 882431 - SHOW PROCESSLIST
[20:10:38:236570 +02:00] [Thread 18108]  SINGLE RETURN ARRIVED - [45,"admire","localhost:13647","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:10:38:236603 +02:00] [Thread 15856]  Finished Query - SHOW PROCESSLIST - with return - [45,"admire","localhost:13647","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:13:11:423018 +02:00] [Thread 15948]  Performed Query 1 - 999731 - SHOW PROCESSLIST
[20:13:11:437609 +02:00] [Thread 15948]  SINGLE RETURN ARRIVED - [46,"admire","localhost:13928","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:13:11:437637 +02:00] [Thread 13916]  Finished Query - SHOW PROCESSLIST - with return - [46,"admire","localhost:13928","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:13:59:055765 +02:00] [Thread 9756]  Performed Query 1 - 452840 - SHOW PROCESSLIST
[20:13:59:055831 +02:00] [Thread 17980]  SINGLE RETURN ARRIVED - [47,"admire","localhost:14085","koth","Query",0,"init","SHOW PROCESSLIST",0]
[20:13:59:055902 +02:00] [Thread 17664]  Finished Query - SHOW PROCESSLIST - with return - [47,"admire","localhost:14085","koth","Query",0,"init","SHOW PROCESSLIST",0]
